ID,DUA_ID,IMAGE_NAME
1,2,sabah01.gif
2,2,sabah02.gif
3,2,sabah03.gif
4,2,sabah04.gif
5,2,sabah05.gif
6,1,mashlool01.gif
7,1,mashlool02.gif
8,1,mashlool03.gif
9,1,mashlool04.gif
10,1,mashlool05.gif
11,1,mashlool06.gif
12,1,mashlool07.gif
13,1,mashlool08.gif
14,3,kumayl01.gif
15,3,kumayl02.gif
16,3,kumayl03.gif
17,3,kumayl04.gif
18,3,kumayl05.gif
19,3,kumayl06.gif
20,3,kumayl07.gif
21,3,kumayl08.gif
22,3,kumayl09.gif
23,3,kumayl10.gif
24,4,dua_nudba01.gif
25,4,dua_nudba02.gif
26,4,dua_nudba03.gif
27,4,dua_nudba04.gif
28,4,dua_nudba05.gif
29,4,dua_nudba06.gif
30,4,dua_nudba07.gif
31,4,dua_nudba08.gif
32,4,dua_nudba09.gif
33,4,dua_nudba10.gif
34,4,dua_nudba11.gif
35,4,dua_nudba12.gif
36,5,taw1.gif
37,5,taw2.gif
38,5,taw3.gif
39,5,taw4.gif
40,6,azbala.gif
41,7,allahummah_kule.gif
42,8,maarefat.gif
43,9,maarefat_a.gif
44,9,maarefat_b.gif
45,9,maarefat_c.gif
46,9,maarefat_d.gif
47,9,maarefat_e.gif
48,9,maarefat_f.gif
49,9,maarefat_g.gif
50,9,maarefat_h.gif
51,10,istegahsa01.gif
52,10,istegahsa02.gif
53,11,hadis_e_kisa01.gif
54,11,hadis_e_kisa02.gif
55,11,hadis_e_kisa03.gif
56,11,hadis_e_kisa04.gif
57,11,hadis_e_kisa05.gif
58,12,ahad01.gif
59,12,ahad02.gif
60,12,ahad03.gif
61,13,ghareek.gif
62,14,d_sirdaab01.gif
63,14,d_sirdaab02.gif
64,14,d_sirdaab03.gif
65,14,d_sirdaab04.gif
66,15,allaahummarzuqna.gif
67,15,allaahummarzuqna1.gif
68,16,asleh.gif
69,17,aayat_alkursi.gif
70,18,abu_hamza01.gif
71,18,abu_hamza02.gif
72,18,abu_hamza03.gif
73,18,abu_hamza04.gif
74,18,abu_hamza05.gif
75,18,abu_hamza06.gif
76,18,abu_hamza07.gif
77,18,abu_hamza08.gif
78,18,abu_hamza09.gif
79,18,abu_hamza10.gif
80,18,abu_hamza11.gif
81,18,abu_hamza12.gif
82,18,abu_hamza13.gif
83,18,abu_hamza14.gif
84,18,abu_hamza15.gif
85,18,abu_hamza16.gif
86,18,abu_hamza17.gif
87,18,abu_hamza18.gif
88,18,abu_hamza19.gif
89,18,abu_hamza20.gif
90,18,abu_hamza21.gif
91,18,abu_hamza22.gif
92,18,abu_hamza23.gif
93,18,abu_hamza24.gif
